index,gr_name,participants
1,Bóng chuyền hơi PHI1017 24,34
2,Bóng chuyền PES1015 7,16
3,K64A3-TN_Nhom1,4
4,KH THÂN THIẾT AOBONGDA AN HÒA,85
5,"Khánh Duy, Lê Văn Công, Đỗ...",9
6,KTCN - HIS Football,23
7,lightroom,4
8,lớp 4- ktct- đại học KHTN,55
9,MAT3504-1,67
10,Nhóm 2_lớp 4_KTCT_HUS,13
11,Phòng Kỹ thuật - Công nghệ,27
12,PTVP Mat 2403 Thứ 2,78
13,Thực tập hè - ĐHKHTN - VSS,8
14,VSS_KTCN_Thực tập sinh,5
